name;buildingnumber;Lat;Long;Start_date;end_date;shortdescription;description;categories/0;categories/1;categories/2;image;imgURL;thumbnail;parent
Bootcamp station;;52.243805;6.852025;;;Bootcamp is the outdoor fitness location adjacent to the running track. Access to Bootcamp University of Twente is free for...;"Bootcamp is the outdoor
fitness location adjacent to the running track. Access to Bootcamp University
of Twente is free for students and employees, as long as you bring your
Campuscard or Unioncard. You can use Bootcamp on your own or bring some
friends. No reservations required. ";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ia0/9b1e8801035f076d002b2c2604763b0b00835c3f020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i3f/dc136201035f076d002b2c2604763b0b00835c3f020701c1da00da0080.jpg;
Asa Student Employment Agency;;52.243799;6.851472;;;Are you looking for a parttime job in Enschede? We recommend you to visit this student agency and find out if they can offer you...;"Are you looking for a parttime
job in Enschede? We recommend you to visit this student agency and find out if
they can offer you a (temporary) part-time job. ";Shops;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/idf/80c9060103605ca200a6a58104fe3b0b00671f58020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i7e/b299600103605ca200a6a58104fe3b0b00671f58020701c1da00da0080.jpg;
ATM;;52.243799;6.851472;;;You'll find an ING ATM next to the supermarket.;You'll find an ING ATM next to the supermarket.;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i8a/a2cdb80103d55aa20087304004fe3b0b00da4c58020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i57/7a91ed0103d55aa20087304004fe3b0b00da4c58020701c1da00da0080.jpg;
Bicycle Repair Shop;;52.243799;6.851472;;;"Bicycle Repair Shop ""De 2e Versnelling"". Phone: +31 (0)88 430 6315 E-mail: de2eversnelling@detwentsezorgcentra.nl I:...";"Bicycle Repair
Shop ""De 2e Versnelling"". Phone: +31 (0)88 430 6315 
E-mail: de2eversnelling@detwentsezorgcentra.nl
I: www.fietswerkplaats-deversnelling.nl";Shops;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i99/e2cf280103ee59a200d39c8204fe3b0b0082da5a020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iff/1af5420103ee59a200d39c8204fe3b0b0082da5a020701c1da00da0080.jpg;
Hairdresser;;52.243799;6.851472;;;You need a haircut? Then this is the place to be. The best smelling coffee, the best music, friendly staff and a set of very...;"You need a haircut? Then this
is the place to be. The best smelling coffee, the best music, friendly staff
and a set of very professional hands can turn any hairdo into a fashionable
hairstyle.";Shops;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i62/ee4ee101036f58a2009a1f8204fe3b0b00a5e563020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iad/dc8a1e01036f58a2009a1f8204fe3b0b00a5e563020701c1da00da0080.jpg;
Parcel Lockers De Buren;;52.243799;6.851472;;;In the 'Sky' building (no 51) you can find unmanned parcel lockers from De Buren. If the webshop supports this feature, you can...;"In the 'Sky' building (no 51)
you can find unmanned parcel lockers from De Buren. If the webshop supports
this feature, you can ask them to send the goods directly to one of the parcel
lockers. A dedicated smart phone app informs you when the packet has arrived
and provides you with the unlock code. This is extremely handy if nobody is home
during office hours, or if you want to order things without informing your room-mates
about it (yet).";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i30/36da350103b15ea2007a834004fe3b0b00707369020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i79/3a212e0103b15ea2007a834004fe3b0b00707369020701c1da00da0080.jpg;
Supermarket;;52.243799;6.851472;;;You can easily buy your groceries on campus at the CoopCompact supermarket.;"You can easily buy your
groceries on campus at the CoopCompact supermarket.";Shops;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if4/909dfd0103fb5aa200e38a8304fe3b0b00132b6f020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i1b/75a3910103fb5aa200e38a8304fe3b0b00132b6f020701c1da00da0080.jpg;
Tennispark;64;52.243739;6.845952;;;The campus accommodates a comprehensive tennis park with four artificial grass and six hard courts. Some of the courts have...;"The campus accommodates a
comprehensive tennis park with four artificial grass and six hard courts. Some
of the courts have artificial lighting. The tennis complex has a separate
canteen and changing rooms. For more information about the Tennis Association Ludica,
please contact bestuur@ludica.nl";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/id2/ef5ec601033b056d00c7caf403763b0b0085bb48020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iff/f43d7401033b056d00c7caf403763b0b0085bb48020701c1da00da0080.jpg;
Vrijhof Audiozaal;;52.243728;6.853208;;;;;;;;;;;poiobject:79E9C139465BB2169806FF70067253CD
Log cabins;36;52.243598;6.846289;;;Next to 'Boerderij Bosch' you will find seven log cabins with a total of 105 sleeping places. Among other things, students use...;"Next to 'Boerderij Bosch' you
will find seven log cabins with a total of 105 sleeping places. Among other
things, students use the log cabins for staying over during brushing up courses
and exam camps. During these educative camps, organised by the Twente Academy,
pupils receive intensive coaching by University of Twente students. The goal of
these camps is to prepare these pupils for their final exams or to brush up on
specific subjects.";Buildings;Hotels;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i97/cb9211010387fe6c0081e6f403723b0b008d5f81030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ief/bf1673010387fe6c0081e6f403723b0b008d5f81030701c1da00da0080.jpg;
Parking sports centre building;;52.243582;6.850217;;;;;Parking;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i47/bb3f6f0103b659a20008b89602bc3b0b003961a7010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i72/4090d40103b659a20008b89602bc3b0b003961a7010701c1da00da0080.jpg;poiobject:C7D7F01306C0F00A1725A20432040531
"""De jongen in het bootje in de snorkelaar""";;52.243503;6.853817;;;Both works are floating in the pond behind the Vrijhof. You can easily see them from the library s study areas. De jongen...;"Both works are floating in the
pond behind the Vrijhof. You can easily see them from the library s study
areas. De jongen in het bootje  was originally located in 'the Volkspark' in
Enschede, but unfortunately too many people called the emergency services. The
other object is constructed of the same colourful polyester. The designer is Petra
Groen.";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i97/0394e901030c60a200f0356c03fe3b0b00a23954020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i8f/7fc32801030c60a200f0356c03fe3b0b00a23954020701c1da00da0080.jpg;
Boerderij Bosch;62;52.243501;6.846881;;;In the past, Boerderij Bosch was used as a gardeners dwelling and had a number of outbuildings. It was renovated in the 1990s,...;"In the past, Boerderij Bosch
was used as a gardeners dwelling and had a number of outbuildings. It was
renovated in the 1990s, and since 1998 the farm has been used by the staff association
University of Twente-kring.";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i01/cb6c1b0103abfe6c0015e5f403723b0b002b7383030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i94/eeeace0103abfe6c0015e5f403723b0b002b7383030701c1da00da0080.jpg;
Sky;51;52.243485;6.851223;;;The 'Sky' complex consists of 87 student apartments, divided over nine floors. From the apartments you have a splendid view of...;"The 'Sky' complex consists of
87 student apartments, divided over nine floors. From the apartments you have a
splendid view of the sports fields and campus. All apartments have their own
sanitary facilities and a kitchen. The size of the apartments varies between 30
and 39 m2. Below the apartment complex a spacious supermarket and a
hairdresser are located. At the side of the complex you'll find the highest
climbing of the Netherlands, as well as a boulder wall.";Buildings;Housing;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ibf/fe6ee20103ba076d0064960e04763b0b002b1e4a020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i19/daaeb70103ba076d0064960e04763b0b002b1e4a020701c1da00da0080.jpg;poiobject:415A793FCAA304AE5B5AEC522CD8F1AA
Hogekamp;45;52.243479;6.855869;;;Until recently, this building was used as research and education building of, for example, the Electrical Engineering,...;"Until recently, this building
was used as research and education building of, for example, the Electrical
Engineering, Mathematics and Computer Science faculty. At this moment
redevelopment of the building is being considered.  Architecture by Samuel
van Embden et al. 





Van Embden designed this
ten-storey building in the spirit of the New Objectivity. He is totally
unambiguous about its purpose: it is a machine for studying. Technology is
proudly on display, as witnessed by the large air conditioning shafts. This
highly visible campus landmark is not in use at this moment, but there are
plans to refit it for student accommodation combined with a hotel.";Culture;Buildings;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i0b/5e47780103d2026d0011d0f403763b0b0069dc52020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/icd/7deda30103d2026d0011d0f403763b0b0069dc52020701c1da00da0080.jpg;
Outdoor Climbing Wall;;52.243455;6.850955;;;Next to the building 'Sky' you'll find the high outdoor climbing wall and low boulder wall. You can use the high climbing wall...;"Next to the building 'Sky' you'll
find the high outdoor climbing wall and low boulder wall. You can use the high
climbing wall under the guidance of a qualified instructor. The boulder wall is
freely accessible.

 

 Heights 

Boulder wall: 5
metres 

Climbing wall:
28 metres";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i48/9477110103ab5ba2003680e302fe3b0b00833f69020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i21/76f8470103ab5ba2003680e302fe3b0b00833f69020701c1da00da0080.jpg;
Bonita Avenue;;52.243431;6.852878;;;This street sign refers to the best-selling novel Bonita Avenue of the famous Dutch writer Peter Buwalda. The book s action...;"This street sign refers to the
best-selling novel Bonita Avenue of the famous Dutch writer Peter Buwalda. The
book s action takes place mainly on the campus of Tubantia University, and one
of the main protagonists is rector Siem Sigerius (the University of Twente
campus and a previous rector served as models for the book). Buwalda was a
journalist on the campus newspaper, UT-News. The Vrijhof Culture Centre organizes
special Buwalda walking tours on campus.";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i52/3e7fda01030c59a200e6bb6d03fe3b0b0023845c020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/id0/b7fd4f01030c59a200e6bb6d03fe3b0b0023845c020701c1da00da0080.jpg;
Parking Vrijhof building;;52.243404;6.854557;;;;;Parking;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i87/644e910103cf5aa200b8c57904b13b0b00c216cf010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie7/7918d40103cf5aa200b8c57904b13b0b00c216cf010701c1da00da0080.jpg;poiobject:79E9C139465BB2169806FF70067253CD
CampusCompany;47;52.243345;6.852905;;;Campus Company organizes tailor-made events. The campus of the University of Twente is the perfect location for your staff...;"Campus Company organizes
tailor-made events. The campus of the University of Twente is the perfect
location for your staff outing, team building activity or an important meeting.
CampusCompany is located in the Vrijhof building, room 229.";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i6d/a1ca670103b3056d004bc8f403723b0b00a754d4030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i91/ee1bb60103b3056d004bc8f403723b0b00a754d4030701c1da00da0080.jpg;poiobject:79E9C139465BB2169806FF70067253CD
Student Affairs Coaching & Counselling;47;52.243345;6.852905;;;Student Affairs, Coaching and Counselling is responsible for the support of individual students and groups of students. The...;"Student Affairs, Coaching and
Counselling is responsible for the support of individual students and groups of
students. The Student Counselling Service (SCS) supports international students,
who face problems when it comes to adapting to life in the Netherlands,
resulting in problems in managing expectations, feelings of loneliness and
study delay. 
 
Location: Building Vrijhof, 3rd floor, room 311 (red
desk).";Education;Facilities;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i6d/a1ca670103b3056d004bc8f403723b0b00a754d4030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i91/ee1bb60103b3056d004bc8f403723b0b00a754d4030701c1da00da0080.jpg;poiobject:79E9C139465BB2169806FF70067253CD
Student pastoral care, sanctuary and mosque;47;52.243345;6.852905;;;The Student Pastoral Care Centre (room 303), sanctuary (room 324) and mosque (room 301) are all located inside the 'Vrijhof'...;"The Student Pastoral Care
Centre (room 303), sanctuary (room 324) and mosque (room 301) are all located
inside the 'Vrijhof' building. You'll find more information on the pages of the
student pastoral care centre.";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i6d/a1ca670103b3056d004bc8f403723b0b00a754d4030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i91/ee1bb60103b3056d004bc8f403723b0b00a754d4030701c1da00da0080.jpg;poiobject:79E9C139465BB2169806FF70067253CD
Student Services;47;52.243345;6.852905;;;For questions related to the administrative part of your study, please contact Student Services. Student Services is located in...;"For questions related to the
administrative part of your study, please contact Student Services. Student Services
is located in the Vrijhof building, 2nd floor.";Education;Facilities;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i31/4867650103345da200e29cfa02fe3b0b00b7ee72020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i73/a85b810103345da200e29cfa02fe3b0b00b7ee72020701c1da00da0080.jpg;poiobject:79E9C139465BB2169806FF70067253CD
Studium Generale;47;52.243345;6.852905;;;Are you curious about science, politics, culture and society? Studium Generale of the University of Twente organizes lectures,...;"Are you curious about science,
politics, culture and society? Studium Generale of the University of Twente
organizes lectures, debates, symposia and courses covering a wide range of topics.
We invite scientists who perform pioneering research and speak about their work
with great passion. Experts inform us about the most recent matters regarding
the world in which we are living. Our activities are open to anyone who is
interested. Unless stated otherwise, admission is free. Studium Generale is
located in the 'Vrijhof' building, 3rd floor.";Culture;Research;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i6d/a1ca670103b3056d004bc8f403723b0b00a754d4030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i91/ee1bb60103b3056d004bc8f403723b0b00a754d4030701c1da00da0080.jpg;poiobject:79E9C139465BB2169806FF70067253CD
TCP Language Centre;47;52.243345;6.852905;;;Improving your skills will help you to perform better in your work or study. The TCP Language Centre offers professional support...;"Improving your skills will
help you to perform better in your work or study. The TCP Language Centre
offers professional support in languages, communicative skills, academic
writing, study and employability skills to staff and students of the University
of Twente. TCP is located at the 5th floor of the 'Vrijhof' building.";Education;Facilities;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i63/94d2010103a558a2002abde502fe3b0b00b52c73020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i87/4f72ad0103a558a2002abde502fe3b0b00b52c73020701c1da00da0080.jpg;poiobject:79E9C139465BB2169806FF70067253CD
Theatre Café;47;52.243345;6.852905;;;The Theatre Café is a relaxed canteen with a good lunch assortment, located at the student boulevard. When the weather is fine,...;"The Theatre Café is a relaxed
canteen with a good lunch assortment, located at the student boulevard. When
the weather is fine, everyone enjoys lunch on the terrace outside. At night,
the canteen is transformed into a beanery. From 5:00 pm you can order the day's
special or a dish from the varied menu.";Food & Drinks;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i71/ae3fff0103745ca2006ea0c102fe3b0b00974f73020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ifa/009e370103745ca2006ea0c102fe3b0b00974f73020701c1da00da0080.jpg;poiobject:79E9C139465BB2169806FF70067253CD
University Library;47;52.243345;6.852905;;;The library provides scientific information for education as well as research.;"The library provides
scientific information for education as well as research.";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ibd/52bfcd01034f5da200bcb37d04fe3b0b00137273020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i8f/f783f201034f5da200bcb37d04fe3b0b00137273020701c1da00da0080.jpg;poiobject:79E9C139465BB2169806FF70067253CD
UT-News;47;52.243345;6.852905;;;UT-News is the independent news bulletin for staff and students of the University of Twente. The editorial office is established...;"UT-News is the independent
news bulletin for staff and students of the University of Twente. The editorial
office is established in the 'Vrijhof' building at the 5th floor.";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/id8/40442e0103be57a200b3430d03fe3b0b007a8d73020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i97/3e6afe0103be57a200b3430d03fe3b0b007a8d73020701c1da00da0080.jpg;poiobject:79E9C139465BB2169806FF70067253CD
Vrijhof Cultural Centre;47;52.243345;6.852905;;;The 'Vrijhof' is the cultural heart of the campus with performances, concerts, cultural courses and lectures. It contains...;"The 'Vrijhof' is the cultural
heart of the campus with performances, concerts, cultural courses and lectures.
It contains artists  studios, pop recording studios, an artothÃ¨que and a
theatre café. Every month a new art exhibition is organized. The 'Vrijhof' also
houses the central library, in which the visitor can view the Paul Citroen art
collection. With its rounded corners, the building's style has a great
resemblance with the 'Bastille'. Architecture by Jan
Verster & Hylke Gjaltema.";Culture;Buildings;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i6d/a1ca670103b3056d004bc8f403723b0b00a754d4030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i91/ee1bb60103b3056d004bc8f403723b0b00a754d4030701c1da00da0080.jpg;
Writing Centre;47;52.243345;6.852905;;;You can contact the Writing Centre when you need individual help with specific writing problems, such as language issues, text...;"You can contact the Writing
Centre when you need individual help with specific writing problems, such as
language issues, text structure, finding the right sources or citation issues. Maybe
you have no clue why your writing is going so slowly, or what is wrong with
your text. The Writing Centre will deal with any question at any stage in the
writing process. However, the Writing Centre is not a correction service. You
will receive help, but you will still need to do all your writing yourself. The
Writing Centre is located at the 5th floor of the 'Vrijhof' building.";Education;Facilities;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i77/eb518401035a59a200c48ae602fe3b0b00010074020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i36/d3f37e01035a59a200c48ae602fe3b0b00010074020701c1da00da0080.jpg;poiobject:79E9C139465BB2169806FF70067253CD
Parking Hogekamp building;;52.243132;6.8563;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ibf/a04d780103f157a2003a0d7904b13b0b00f20dc6010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i28/6788eb0103f157a2003a0d7904b13b0b00f20dc6010701c1da00da0080.jpg;poiobject:7271776483F0C127A2DC535E5C8E4337
Bastille;48;52.243082;6.851917;;;The 'Bastille' is the main student building of the University of Twente. The building houses student organisations and student...;"The 'Bastille' is the main student building of the
University of Twente. The building houses student organisations and student
entrepreneurs, as well as services such as the student service centre and
student counselling. The 'Bastille' also houses the Student Union, the umbrella
student organisation of the University of Twente, to which over a hundred study-,
sports-, and social clubs are associated. Last but not least the 'Vestingbar'
is also located in the Bastille. This student bar is open every day of the
year, and is run by students. You might visit de 'Vestingbar' as well to join a
party or to watch a movie. Architecture by Piet
Blom & Robert Winkel 





The building was instantly baptised the 'Bastille'
because of its resemblance with the exterior of the famed Parisian prison. Upon
entering, visitors are overwhelmed by a carefully orchestrated chaos. Piet Blom
created a labyrinth inside, with twelve mezzanines, low walls, niches, and
steps, all of which are intended to encourage coincidental encounters. Robert Winkel
transformed it into an open building. ";Culture;Buildings;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i52/a82e7b010363fe6c00c5e6f403763b0b008f3a3b020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i21/73eac7010363fe6c00c5e6f403763b0b008f3a3b020701c1da00da0080.jpg;
Pre-U;48;52.243082;6.851917;;;Pre-U connects Dutch pupils in high school to the University of Twente. To do this, Pre-U organizes various activities for...;"Pre-U connects Dutch pupils in
high school to the University of Twente. To do this, Pre-U organizes various
activities for secondary school pupils, but it also offers various courses and
support for the further professionalization of teachers in secondary education.
Pre-U is located in the 'Bastille' building, room 109.";Education;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i8c/9e0f2e0103105ca20096540e03fe3b0b00f4c059020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i9b/185cdd0103105ca20096540e03fe3b0b00f4c059020701c1da00da0080.jpg;poiobject:B4892984C053836F8065EDDE188E184A
Student Union;48;52.243082;6.851917;;;The major goal of the Student Union is to facilitate students to have a 'fun and stimulating' study period. The Student Union is...;"The major goal of the Student Union is
to facilitate students to have a 'fun and stimulating' study period. The Student
Union is an organization that is in close contact with numerous entities,
varying from the smallest student association to the executive board of the
university. By means of several alliances the Student Union creates as many
opportunities as possible for both associations and individual students. 

 

Do you want to organize an event or
start an enterprise? The Student Union might help you, for instance, with getting
in touch with the right people or with finding inexpensive office space. The
Student Union also helps you to find out if you are entitled to any kind of subsidy.
Moreover the Student Union has a sponsorship fund on behalf of interesting projects.

 

The Student Union is located in the
Bastille buidling, room 332.";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie1/59ff0401039459a20051cf0903523c0b00d8ef59020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i4e/9e977701039459a20051cf0903523c0b00d8ef59020701c1da00da0080.jpg;poiobject:B4892984C053836F8065EDDE188E184A
The Vestingbar;48;52.243082;6.851917;;;The 'Vestingbar' is the student's pub at the heart of the campus. It is open every night from 9:00 pm. During the year, this is...;"The 'Vestingbar' is the
student's pub at the heart of the campus. It is open every night from 9:00 pm.
During the year, this is where many student parties and special events take
place at night. The 'Vestingbar' is run and staffed exclusively by students. Open till late, or
early...";Food & Drinks;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/id5/890da50103fa5ba20006b6c0021d3c0b00d85504030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic6/f146c80103fa5ba20006b6c0021d3c0b00d85504030701c1da00da0080.jpg;poiobject:B4892984C053836F8065EDDE188E184A
UnionShop;48;52.243082;6.851917;;;The student UnionShop sells products like gifts and clothing of University of Twente, as well as other products.;"The student UnionShop sells
products like gifts and clothing of University of Twente, as well as other
products.";Shops;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i3e/a22da70103cf5fa200b03781041e3c0b00cd8420020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie9/3353d40103cf5fa200b03781041e3c0b00cd8420020701c1da00da0080.jpg;poiobject:B4892984C053836F8065EDDE188E184A
Information Plaza by Andrea Blum;;52.242905;6.852754;;;American artist Andrea Blum created this work especially for the University of Twente. 'Information Plaza' consists of two...;"American artist Andrea Blum
created this work especially for the University of Twente. 'Information Plaza'
consists of two overlapping squares, and is intended to serve as a meeting
point. It also serves as a central information point, with a rolling display
that shows the news headlines. Its placement creates a central passage for both
cyclists and pedestrians. ";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie2/060b660103ba5ca20013156f03fe3b0b008dd166020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i34/7e33cd0103ba5ca20013156f03fe3b0b008dd166020701c1da00da0080.jpg;
Church Tower;;52.242787;6.853495;;;Wim T. Schippers is a man of many talents: artist, presenter, playwright. He created this striking work specifically for the...;"Wim T. Schippers is a man of
many talents: artist, presenter, playwright. He created this striking work
specifically for the campus. The 'Little Tower of Drienerlo' stands in the
water half-submerged. Schippers himself deliberately spread all kinds of
rumours about this new classic landmark, one of them being that once a church
stood here, but it had slowly submerged under the marshy Twente ground. The 'Torentje' is a
genuine University of Twente icon.";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic3/23fb4001032f61a2006212d202fe3b0b00ba0061020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i83/fd12c301032f61a2006212d202fe3b0b00ba0061020701c1da00da0080.jpg;
"""Bastilleveld""";;52.24278;6.851027;;;Bastille Field with its two dugouts is used as the main soccer field.;"Bastille Field with its two
dugouts is used as the main soccer field.";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i1e/a536ee010309076d009d0f2f04763b0b00bdea3b020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i83/99656b010309076d009d0f2f04763b0b00bdea3b020701c1da00da0080.jpg;
Drienerburght;44;52.242515;6.85381;;;The 'Drienerburght' is a conference hotel in the middle of the campus of the University of Twente. The building has 64 hotel...;"The 'Drienerburght' is a
conference hotel in the middle of the campus of the University of Twente. The building has 64
hotel rooms and five conference halls.";Buildings;Hotels;Food & Drinks;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i32/a714920103a3ff6c000adaf403763b0b007a7352020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i25/dffb8a0103a3ff6c000adaf403763b0b007a7352020701c1da00da0080.jpg;
Bus stop UT Bastille;;52.242278;6.851403;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ia0/19b75201037260a2003bd88904b13b0b002b55c2010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i3c/2faf3501037260a2003bd88904b13b0b002b55c2010701c1da00da0080.jpg;
Bus stop UT Calslaan;;52.242025;6.845995;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic6/4b44e50103e860a200d8278c04b13b0b003f69c2010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i21/3952240103e860a200d8278c04b13b0b003f69c2010701c1da00da0080.jpg;
Student housing Calslaan Nieuw;;52.241624;6.845877;;;'Calslaan Nieuw' is a four-storey flat. The building accommodates student communities who share sanitary facilities and a...;"'Calslaan Nieuw' is a
four-storey flat. The building accommodates student communities who share
sanitary facilities and a kitchen. The groups vary in size from four to ten
students. The rooms vary in size between 15 and 27 m2. Several other
complexes consist of apartments with own sanitary facilities and an own
kitchen.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ifb/2e38970103315ba200957c4804fe3b0b00e4096e020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ida/cfe0570103315ba200957c4804fe3b0b00e4096e020701c1da00da0080.jpg;
Carillon;4;52.24157;6.850597;;;The campus of the University of Twente has its own carillon. The carillon, comprising 49 bells, was designed by the well-known...;"The campus of the University
of Twente has its own carillon. The carillon, comprising 49 bells, was designed
by the well-known architect Gerrit Rietveld and was donated in 1964 by
municipalities in the environment of the University of Twente. Staff and
students can take carillon lessons and play the instrument.";Culture;Buildings;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/id8/b40efd0103f360a20091ec9b02fe3b0b00e9995f020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i65/37ce9b0103f360a20091ec9b02fe3b0b00e9995f020701c1da00da0080.jpg;
"Event field - ""Ganzenveld""";;52.241539;6.852657;;;In the middle of the University of Twente campus you'll find a large professional events ground that offers room to 35,000...;"In the middle of the University
of Twente campus you'll find a large professional events ground that offers
room to 35,000 visitors. The ground is used for, among other things,
large-scale events such as Campuspop, Citymoves and Europe's largest students
festival: the Batavians Festival. Underneath the grass cover, the ground is
hardened and has been fitted with a drainage system, internet, power
connections, water supply and discharge, as well as facilities for placing
toilets.";Events;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i55/1281a201032e5ba200b02f3204fe3b0b00ea3063020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iec/242b9c01032e5ba200b02f3204fe3b0b00ea3063020701c1da00da0080.jpg;
